TrakPro Version 4.70 ASCII Data File

Model:,P-Trak
Model Number:,8525
Serial Number:,8525-12170007
Test ID:,081
Test Abbreviation:,
Start Date:,06/01/2026
Start Time:,13:46:15
Duration (dd:hh:mm:ss):,0:00:06:51
Time constant (seconds):,0
Log Interval (mm:ss):,00:01
Number of points:,414
Notes:,

Statistics,Channel:,Pt Conc
,Units:,pt/cc
,Average:,8993
,Minimum:,7760
,Time of Minimum:,13:50:34
,Date of Minimum:,06/01/2026
,Maximum:,15500
,Time of Maximum:,13:48:54
,Date of Maximum:,06/01/2026

Calibration,Sensor:,Pt Conc
,Cal. date,01/01/2000

Date,Time,Pt Conc
MM/dd/yyyy,hh:mm:ss,pt/cc
06/01/2026,13:46:16,Invalid
06/01/2026,13:46:17,Invalid
06/01/2026,13:46:18,Invalid
06/01/2026,13:46:19,9670
06/01/2026,13:46:20,9540
06/01/2026,13:46:21,9450
06/01/2026,13:46:22,9560
06/01/2026,13:46:23,9440
06/01/2026,13:46:24,9520
06/01/2026,13:46:25,9370
06/01/2026,13:46:26,9240
06/01/2026,13:46:27,9340
06/01/2026,13:46:28,9050
06/01/2026,13:46:29,9130
06/01/2026,13:46:30,9100
06/01/2026,13:46:31,9030
06/01/2026,13:46:32,9080
06/01/2026,13:46:33,8920
06/01/2026,13:46:34,8890
06/01/2026,13:46:35,9100
06/01/2026,13:46:36,9040
06/01/2026,13:46:37,8810
06/01/2026,13:46:38,8860
06/01/2026,13:46:39,8860
06/01/2026,13:46:40,8760
06/01/2026,13:46:41,8780
06/01/2026,13:46:42,8780
06/01/2026,13:46:43,8840
06/01/2026,13:46:44,8810
06/01/2026,13:46:45,9070
06/01/2026,13:46:46,8900
06/01/2026,13:46:47,8760
06/01/2026,13:46:48,8850
06/01/2026,13:46:49,8700
06/01/2026,13:46:50,8850
06/01/2026,13:46:51,8750
06/01/2026,13:46:52,8920
06/01/2026,13:46:53,8910
06/01/2026,13:46:54,8830
06/01/2026,13:46:55,9060
06/01/2026,13:46:56,9130
06/01/2026,13:46:57,9220
06/01/2026,13:46:58,8840
06/01/2026,13:46:59,8690
06/01/2026,13:47:00,8590
06/01/2026,13:47:01,8640
06/01/2026,13:47:02,8660
06/01/2026,13:47:03,8720
06/01/2026,13:47:04,8700
06/01/2026,13:47:05,8660
06/01/2026,13:47:06,8700
06/01/2026,13:47:07,8680
06/01/2026,13:47:08,8770
06/01/2026,13:47:09,8660
06/01/2026,13:47:10,9250
06/01/2026,13:47:11,9120
06/01/2026,13:47:12,9030
06/01/2026,13:47:13,8830
06/01/2026,13:47:14,8890
06/01/2026,13:47:15,8930
06/01/2026,13:47:16,9080
06/01/2026,13:47:17,9360
06/01/2026,13:47:18,9450
06/01/2026,13:47:19,9430
06/01/2026,13:47:20,9330
06/01/2026,13:47:21,9370
06/01/2026,13:47:22,9350
06/01/2026,13:47:23,9340
06/01/2026,13:47:24,11000
06/01/2026,13:47:25,10600
06/01/2026,13:47:26,10900
06/01/2026,13:47:27,11500
06/01/2026,13:47:28,11400
