Date,Time,plates
2026-06-01,13:46:17,[]
2026-06-01,13:46:17.033333,[]
2026-06-01,13:46:17.066666,[]
2026-06-01,13:46:17.099999,[]
2026-06-01,13:46:17.133332,[]
2026-06-01,13:46:17.166665,[]
2026-06-01,13:46:17.199998,[]
2026-06-01,13:46:17.233331,[]
2026-06-01,13:46:17.266664,[]
2026-06-01,13:46:17.299997,[]
2026-06-01,13:46:17.333330,[]
2026-06-01,13:46:17.366663,[]
2026-06-01,13:46:17.399996,[]
2026-06-01,13:46:17.433329,[]
2026-06-01,13:46:17.466662,[]
2026-06-01,13:46:17.499995,[]
2026-06-01,13:46:17.533328,[]
2026-06-01,13:46:17.566661,[]
2026-06-01,13:46:17.599994,[]
2026-06-01,13:46:17.633327,[]
2026-06-01,13:46:17.666660,[]
2026-06-01,13:46:17.699993,[]
2026-06-01,13:46:17.733326,[]
2026-06-01,13:46:17.766659,[]
2026-06-01,13:46:17.799992,[]
2026-06-01,13:46:17.833325,[]
2026-06-01,13:46:17.866658,[]
2026-06-01,13:46:17.899991,[]
2026-06-01,13:46:17.933324,[]
2026-06-01,13:46:17.966657,[]
2026-06-01,13:46:17.999990,[]
2026-06-01,13:46:18.033323,[]
2026-06-01,13:46:18.066656,[]
2026-06-01,13:46:18.099989,[]
2026-06-01,13:46:18.133322,[]
2026-06-01,13:46:18.166655,[]
2026-06-01,13:46:18.199988,[]
2026-06-01,13:46:18.233321,[]
2026-06-01,13:46:18.266654,[]
2026-06-01,13:46:18.299987,[]
2026-06-01,13:46:18.333320,[]
2026-06-01,13:46:18.366653,[]
2026-06-01,13:46:18.399986,[]
2026-06-01,13:46:18.433319,[]
2026-06-01,13:46:18.466652,[]
2026-06-01,13:46:18.499985,[]
2026-06-01,13:46:18.533318,[]
2026-06-01,13:46:18.566651,[]
2026-06-01,13:46:18.599984,[]
2026-06-01,13:46:18.633317,[]
2026-06-01,13:46:18.666650,[]
2026-06-01,13:46:18.699983,[]
2026-06-01,13:46:18.733316,[]
2026-06-01,13:46:18.766649,[]
2026-06-01,13:46:18.799982,[]
2026-06-01,13:46:18.833315,[]
2026-06-01,13:46:18.866648,[]
2026-06-01,13:46:18.899981,[]
2026-06-01,13:46:18.933314,[]
2026-06-01,13:46:18.966647,[]
2026-06-01,13:46:18.999980,[]
2026-06-01,13:46:19.033313,[]
2026-06-01,13:46:19.066646,[]
2026-06-01,13:46:19.099979,[]
2026-06-01,13:46:19.133312,[]
2026-06-01,13:46:19.166645,[]
2026-06-01,13:46:19.199978,[]
2026-06-01,13:46:19.233311,[]
2026-06-01,13:46:19.266644,[]
2026-06-01,13:46:19.299977,[]
2026-06-01,13:46:19.333310,[]
2026-06-01,13:46:19.366643,[]
2026-06-01,13:46:19.399976,[]
2026-06-01,13:46:19.433309,[]
2026-06-01,13:46:19.466642,[]
2026-06-01,13:46:19.499975,[]
2026-06-01,13:46:19.533308,[]
2026-06-01,13:46:19.566641,[]
2026-06-01,13:46:19.599974,[]
2026-06-01,13:46:19.633307,[]
2026-06-01,13:46:19.666640,[]
2026-06-01,13:46:19.699973,[]
2026-06-01,13:46:19.733306,[]
2026-06-01,13:46:19.766639,[]
2026-06-01,13:46:19.799972,[]
2026-06-01,13:46:19.833305,[]
2026-06-01,13:46:19.866638,[]
2026-06-01,13:46:19.899971,[]
2026-06-01,13:46:19.933304,[]
2026-06-01,13:46:19.966637,[]
2026-06-01,13:46:19.999970,[]
2026-06-01,13:46:20.033303,[]
2026-06-01,13:46:20.066636,[]
2026-06-01,13:46:20.099969,[]
2026-06-01,13:46:20.133302,[]
2026-06-01,13:46:20.166635,[]
2026-06-01,13:46:20.199968,[]
2026-06-01,13:46:20.233301,[]
2026-06-01,13:46:20.266634,[]
2026-06-01,13:46:20.299967,[]
2026-06-01,13:46:20.333300,[]
2026-06-01,13:46:20.366633,[]
2026-06-01,13:46:20.399966,[]
2026-06-01,13:46:20.433299,[]
2026-06-01,13:46:20.466632,[]
2026-06-01,13:46:20.499965,[]
2026-06-01,13:46:20.533298,[]
2026-06-01,13:46:20.566631,[]
2026-06-01,13:46:20.599964,[]
2026-06-01,13:46:20.633297,[]
2026-06-01,13:46:20.666630,[]
2026-06-01,13:46:20.699963,[]
2026-06-01,13:46:20.733296,[]
2026-06-01,13:46:20.766629,[]
2026-06-01,13:46:20.799962,[]
2026-06-01,13:46:20.833295,[]
2026-06-01,13:46:20.866628,[]
2026-06-01,13:46:20.899961,[]
2026-06-01,13:46:20.933294,[]
2026-06-01,13:46:20.966627,[]
2026-06-01,13:46:20.999960,[]
2026-06-01,13:46:21.033293,[]
2026-06-01,13:46:21.066626,[]
2026-06-01,13:46:21.099959,[]
2026-06-01,13:46:21.133292,[]
2026-06-01,13:46:21.166625,[]
2026-06-01,13:46:21.199958,[]
2026-06-01,13:46:21.233291,[]
2026-06-01,13:46:21.266624,[]
2026-06-01,13:46:21.299957,[]
2026-06-01,13:46:21.333290,[]
2026-06-01,13:46:21.366623,[]
2026-06-01,13:46:21.399956,[]
2026-06-01,13:46:21.433289,[]
2026-06-01,13:46:21.466622,[]
2026-06-01,13:46:21.499955,[]
2026-06-01,13:46:21.533288,[]
2026-06-01,13:46:21.566621,[]
2026-06-01,13:46:21.599954,[]
2026-06-01,13:46:21.633287,[]
2026-06-01,13:46:21.666620,[]
2026-06-01,13:46:21.699953,[]
2026-06-01,13:46:21.733286,[]
2026-06-01,13:46:21.766619,[]
2026-06-01,13:46:21.799952,[]
2026-06-01,13:46:21.833285,[]
2026-06-01,13:46:21.866618,[]
2026-06-01,13:46:21.899951,[]
2026-06-01,13:46:21.933284,[]
2026-06-01,13:46:21.966617,[]
2026-06-01,13:46:21.999950,[]
2026-06-01,13:46:22.033283,[]
2026-06-01,13:46:22.066616,[]
2026-06-01,13:46:22.099949,[]
2026-06-01,13:46:22.133282,[]
2026-06-01,13:46:22.166615,[]
2026-06-01,13:46:22.199948,[]
2026-06-01,13:46:22.233281,[]
2026-06-01,13:46:22.266614,[]
2026-06-01,13:46:22.299947,[]
2026-06-01,13:46:22.333280,[]
2026-06-01,13:46:22.366613,[]
2026-06-01,13:46:22.399946,[]
2026-06-01,13:46:22.433279,[]
2026-06-01,13:46:22.466612,[]
2026-06-01,13:46:22.499945,[]
2026-06-01,13:46:22.533278,[]
2026-06-01,13:46:22.566611,[]
2026-06-01,13:46:22.599944,[]
2026-06-01,13:46:22.633277,[]
2026-06-01,13:46:22.666610,[]
2026-06-01,13:46:22.699943,[]
2026-06-01,13:46:22.733276,[]
2026-06-01,13:46:22.766609,[]
2026-06-01,13:46:22.799942,[]
2026-06-01,13:46:22.833275,[]
2026-06-01,13:46:22.866608,[]
2026-06-01,13:46:22.899941,[]
2026-06-01,13:46:22.933274,[]
2026-06-01,13:46:22.966607,[]
2026-06-01,13:46:22.999940,[]
2026-06-01,13:46:23.033273,[]
2026-06-01,13:46:23.066606,[]
2026-06-01,13:46:23.099939,[]
2026-06-01,13:46:23.133272,[]
2026-06-01,13:46:23.166605,[]
2026-06-01,13:46:23.199938,[]
2026-06-01,13:46:23.233271,[]
2026-06-01,13:46:23.266604,[]
2026-06-01,13:46:23.299937,[]
2026-06-01,13:46:23.333270,[]
2026-06-01,13:46:23.366603,[]
2026-06-01,13:46:23.399936,[]
2026-06-01,13:46:23.433269,[]
2026-06-01,13:46:23.466602,[]
2026-06-01,13:46:23.499935,[]
2026-06-01,13:46:23.533268,[]
2026-06-01,13:46:23.566601,[]
2026-06-01,13:46:23.599934,[]
