Date,Time,plates
2026-06-10,12:56:45,[]
2026-06-10,12:56:45.033367,[]
2026-06-10,12:56:45.066734,[]
2026-06-10,12:56:45.100101,[]
2026-06-10,12:56:45.133468,[]
2026-06-10,12:56:45.166835,[]
2026-06-10,12:56:45.200202,[]
2026-06-10,12:56:45.233569,[]
2026-06-10,12:56:45.266936,[]
2026-06-10,12:56:45.300303,[]
2026-06-10,12:56:45.333670,[]
2026-06-10,12:56:45.367037,[]
2026-06-10,12:56:45.400404,[]
2026-06-10,12:56:45.433771,[]
2026-06-10,12:56:45.467138,[]
2026-06-10,12:56:45.500505,[]
2026-06-10,12:56:45.533872,[]
2026-06-10,12:56:45.567239,[]
2026-06-10,12:56:45.600606,[]
2026-06-10,12:56:45.633973,[]
2026-06-10,12:56:45.667340,[]
2026-06-10,12:56:45.700707,[]
2026-06-10,12:56:45.734074,[]
2026-06-10,12:56:45.767441,[]
2026-06-10,12:56:45.800808,[]
2026-06-10,12:56:45.834175,[]
2026-06-10,12:56:45.867542,[]
2026-06-10,12:56:45.900909,[]
2026-06-10,12:56:45.934276,[]
2026-06-10,12:56:45.967643,[]
2026-06-10,12:56:46.001010,[]
2026-06-10,12:56:46.034377,[]
2026-06-10,12:56:46.067744,[]
2026-06-10,12:56:46.101111,[]
2026-06-10,12:56:46.134478,[]
2026-06-10,12:56:46.167845,[]
2026-06-10,12:56:46.201212,[]
2026-06-10,12:56:46.234579,[]
2026-06-10,12:56:46.267946,[]
2026-06-10,12:56:46.301313,[]
2026-06-10,12:56:46.334680,[]
2026-06-10,12:56:46.368047,[]
2026-06-10,12:56:46.401414,[]
2026-06-10,12:56:46.434781,[]
2026-06-10,12:56:46.468148,[]
2026-06-10,12:56:46.501515,[]
2026-06-10,12:56:46.534882,[]
2026-06-10,12:56:46.568249,[]
2026-06-10,12:56:46.601616,[]
2026-06-10,12:56:46.634983,[]
2026-06-10,12:56:46.668350,[]
2026-06-10,12:56:46.701717,[]
2026-06-10,12:56:46.735084,[]
2026-06-10,12:56:46.768451,[]
2026-06-10,12:56:46.801818,[]
2026-06-10,12:56:46.835185,[]
2026-06-10,12:56:46.868552,[]
2026-06-10,12:56:46.901919,[]
2026-06-10,12:56:46.935286,[]
2026-06-10,12:56:46.968653,[]
2026-06-10,12:56:47.002020,[]
2026-06-10,12:56:47.035387,[]
2026-06-10,12:56:47.068754,[]
2026-06-10,12:56:47.102121,[]
2026-06-10,12:56:47.135488,[]
2026-06-10,12:56:47.168855,[]
2026-06-10,12:56:47.202222,[]
2026-06-10,12:56:47.235589,[]
2026-06-10,12:56:47.268956,[]
2026-06-10,12:56:47.302323,[]
2026-06-10,12:56:47.335690,[]
2026-06-10,12:56:47.369057,[]
2026-06-10,12:56:47.402424,[]
2026-06-10,12:56:47.435791,[]
2026-06-10,12:56:47.469158,[]
2026-06-10,12:56:47.502525,[]
2026-06-10,12:56:47.535892,[]
2026-06-10,12:56:47.569259,[]
2026-06-10,12:56:47.602626,[]
2026-06-10,12:56:47.635993,[]
2026-06-10,12:56:47.669360,[]
2026-06-10,12:56:47.702727,[]
2026-06-10,12:56:47.736094,[]
2026-06-10,12:56:47.769461,[]
2026-06-10,12:56:47.802828,[]
2026-06-10,12:56:47.836195,[]
2026-06-10,12:56:47.869562,[]
2026-06-10,12:56:47.902929,[]
2026-06-10,12:56:47.936296,[]
2026-06-10,12:56:47.969663,[]
2026-06-10,12:56:48.003030,[]
2026-06-10,12:56:48.036397,[]
2026-06-10,12:56:48.069764,[]
2026-06-10,12:56:48.103131,[]
2026-06-10,12:56:48.136498,[]
2026-06-10,12:56:48.169865,[]
2026-06-10,12:56:48.203232,[]
2026-06-10,12:56:48.236599,[]
2026-06-10,12:56:48.269966,[]
2026-06-10,12:56:48.303333,[]
2026-06-10,12:56:48.336700,[]
2026-06-10,12:56:48.370067,[]
2026-06-10,12:56:48.403434,[]
2026-06-10,12:56:48.436801,[]
2026-06-10,12:56:48.470168,[]
2026-06-10,12:56:48.503535,[]
2026-06-10,12:56:48.536902,[]
2026-06-10,12:56:48.570269,[]
2026-06-10,12:56:48.603636,[]
2026-06-10,12:56:48.637003,[]
2026-06-10,12:56:48.670370,[]
2026-06-10,12:56:48.703737,[]
2026-06-10,12:56:48.737104,[]
2026-06-10,12:56:48.770471,[]
2026-06-10,12:56:48.803838,[]
2026-06-10,12:56:48.837205,[]
2026-06-10,12:56:48.870572,[]
2026-06-10,12:56:48.903939,[]
2026-06-10,12:56:48.937306,[]
2026-06-10,12:56:48.970673,[]
2026-06-10,12:56:49.004040,[]
2026-06-10,12:56:49.037407,[]
2026-06-10,12:56:49.070774,[]
2026-06-10,12:56:49.104141,[]
2026-06-10,12:56:49.137508,[]
2026-06-10,12:56:49.170875,[]
2026-06-10,12:56:49.204242,[]
2026-06-10,12:56:49.237609,[]
2026-06-10,12:56:49.270976,[]
2026-06-10,12:56:49.304343,[]
2026-06-10,12:56:49.337710,[]
2026-06-10,12:56:49.371077,[]
2026-06-10,12:56:49.404444,[]
2026-06-10,12:56:49.437811,[]
2026-06-10,12:56:49.471178,[]
2026-06-10,12:56:49.504545,[]
2026-06-10,12:56:49.537912,[]
2026-06-10,12:56:49.571279,[]
2026-06-10,12:56:49.604646,[]
2026-06-10,12:56:49.638013,[]
2026-06-10,12:56:49.671380,[]
2026-06-10,12:56:49.704747,[]
2026-06-10,12:56:49.738114,[]
2026-06-10,12:56:49.771481,[]
2026-06-10,12:56:49.804848,[]
2026-06-10,12:56:49.838215,[]
