Date,Time,Particle_Count
06/02/2026,11:28:32,"8820
"
06/02/2026,11:28:33,"8880
"
06/02/2026,11:28:34,"8770
"
06/02/2026,11:28:35,"8730
"
06/02/2026,11:28:36,"8870
"
06/02/2026,11:28:37,"8750
"
06/02/2026,11:28:38,"8830
"
06/02/2026,11:28:39,"8680
"
06/02/2026,11:28:40,"8690
"
06/02/2026,11:28:41,"8590
"
06/02/2026,11:28:42,"8580
"
06/02/2026,11:28:43,"8640
"
06/02/2026,11:28:44,"8600
"
06/02/2026,11:28:45,"8600
"
06/02/2026,11:28:46,"8800
"
06/02/2026,11:28:47,"8580
"
06/02/2026,11:28:48,"8500
"
06/02/2026,11:28:49,"8610
"
06/02/2026,11:28:50,"8610
"
06/02/2026,11:28:51,"8580
"
06/02/2026,11:28:52,"8700
"
06/02/2026,11:28:53,"9060
"
06/02/2026,11:28:54,"9240
"
06/02/2026,11:28:55,"9410
"
06/02/2026,11:28:56,"9330
"
06/02/2026,11:28:57,"9380
"
06/02/2026,11:28:58,"9440
"
06/02/2026,11:28:59,"9480
"
06/02/2026,11:29:00,"9240
"
06/02/2026,11:29:01,"9230
"
06/02/2026,11:29:02,"9090
"
06/02/2026,11:29:03,"9080
"
06/02/2026,11:29:04,"9060
"
06/02/2026,11:29:05,"9230
"
06/02/2026,11:29:06,"9320
"
06/02/2026,11:29:07,"9320
"
06/02/2026,11:29:08,"9270
"
06/02/2026,11:29:09,"9220
"
06/02/2026,11:29:10,"9300
"
06/02/2026,11:29:11,"9300
"
06/02/2026,11:29:12,"9170
"
06/02/2026,11:29:13,"9340
"
06/02/2026,11:29:14,"9280
"
06/02/2026,11:29:15,"9290
"
06/02/2026,11:29:16,"9220
"
06/02/2026,11:29:17,"9280
"
06/02/2026,11:29:18,"9110
"
06/02/2026,11:29:19,"9110
"
06/02/2026,11:29:20,"9300
"
06/02/2026,11:29:21,"9220
"
06/02/2026,11:29:22,"9180
"
06/02/2026,11:29:23,"9280
"
06/02/2026,11:29:24,"9420
"
06/02/2026,11:29:25,"9340
"
06/02/2026,11:29:26,"9280
"
06/02/2026,11:29:27,"9290
"
06/02/2026,11:29:28,"9630
"
06/02/2026,11:29:29,"9400
"
06/02/2026,11:29:30,"9390
"
06/02/2026,11:29:31,"9380
"
06/02/2026,11:29:32,"9800
"
06/02/2026,11:29:33,"9930
"
06/02/2026,11:29:34,"9810
"
06/02/2026,11:29:35,"9420
"
06/02/2026,11:29:36,"9210
"
06/02/2026,11:29:37,"9390
"
06/02/2026,11:29:38,"9230
"
06/02/2026,11:29:39,"9180
"
06/02/2026,11:29:40,"9140
"
06/02/2026,11:29:41,"9370
"
06/02/2026,11:29:42,"9200
"
06/02/2026,11:29:43,"9250
"
06/02/2026,11:29:44,"9650
"
06/02/2026,11:29:45,"9650
"
06/02/2026,11:29:46,"9410
"
06/02/2026,11:29:47,"9550
"
06/02/2026,11:29:48,"9620
"
06/02/2026,11:29:49,"9590
"
06/02/2026,11:29:50,"9880
"
06/02/2026,11:29:51,"10000
"
06/02/2026,11:29:52,"10200
"
06/02/2026,11:29:53,"10300
"
06/02/2026,11:29:54,"10200
"
06/02/2026,11:29:55,"10300
"
06/02/2026,11:29:56,"10100
"
06/02/2026,11:29:57,"9960
"
06/02/2026,11:29:58,"10000
"
06/02/2026,11:29:59,"10100
"
06/02/2026,11:30:00,"10100
"
06/02/2026,11:30:01,"9970
"
06/02/2026,11:30:02,"9430
"
06/02/2026,11:30:03,"9060
"
06/02/2026,11:30:04,"9160
"
06/02/2026,11:30:05,"9080
"
06/02/2026,11:30:06,"9120
"
06/02/2026,11:30:07,"8510
"
06/02/2026,11:30:08,"8830
"
06/02/2026,11:30:09,"9180
"
06/02/2026,11:30:10,"9470
"
06/02/2026,11:30:11,"9650
"
06/02/2026,11:30:12,"9730
"
06/02/2026,11:30:13,"9600
"
06/02/2026,11:30:14,"9330
"
06/02/2026,11:30:15,"9280
"
06/02/2026,11:30:16,"9110
"
06/02/2026,11:30:17,"9360
"
06/02/2026,11:30:18,"9360
"
06/02/2026,11:30:19,"9270
"
06/02/2026,11:30:20,"9330
"
06/02/2026,11:30:21,"9500
"
06/02/2026,11:30:22,"9620
"
06/02/2026,11:30:23,"9880
"
06/02/2026,11:30:24,"9950
"
06/02/2026,11:30:25,"9870
"
06/02/2026,11:30:26,"10300
"
06/02/2026,11:30:27,"10500
"
06/02/2026,11:30:28,"10100
"
06/02/2026,11:30:29,"9990
"
06/02/2026,11:30:30,"10300
"
06/02/2026,11:30:31,"10400
"
06/02/2026,11:30:32,"10300
"
06/02/2026,11:30:33,"9870
"
06/02/2026,11:30:34,"10500
"
06/02/2026,11:30:35,"9980
"
06/02/2026,11:30:36,"10200
"
06/02/2026,11:30:37,"11000
"
06/02/2026,11:30:38,"10600
"
06/02/2026,11:30:39,"10100
"
06/02/2026,11:30:40,"10100
"
06/02/2026,11:30:41,"10200
"
06/02/2026,11:30:42,"10200
"
06/02/2026,11:30:43,"10600
"
06/02/2026,11:30:44,"10400
"
06/02/2026,11:30:45,"10900
"
06/02/2026,11:30:46,"11200
"
06/02/2026,11:30:47,"10700
"
06/02/2026,11:30:48,"10600
"
06/02/2026,11:30:49,"10500
"
06/02/2026,11:30:50,"10400
"
06/02/2026,11:30:51,"10500
"
06/02/2026,11:30:52,"10400
"
06/02/2026,11:30:53,"10300
"
06/02/2026,11:30:54,"10300
"
06/02/2026,11:30:55,"10300
"
06/02/2026,11:30:56,"10300
"
06/02/2026,11:30:57,"10300
"
06/02/2026,11:30:58,"10400
"
06/02/2026,11:30:59,"10400
"
06/02/2026,11:31:00,"10600
"
06/02/2026,11:31:01,"11000
"
06/02/2026,11:31:02,"11000
"
06/02/2026,11:31:03,"10800
"
