Date,Time,plates
2026-06-02,11:28:28,[]
2026-06-02,11:28:28.033367,[]
2026-06-02,11:28:28.066734,[]
2026-06-02,11:28:28.100101,[]
2026-06-02,11:28:28.133468,[]
2026-06-02,11:28:28.166835,[]
2026-06-02,11:28:28.200202,[]
2026-06-02,11:28:28.233569,[]
2026-06-02,11:28:28.266936,[]
2026-06-02,11:28:28.300303,[]
2026-06-02,11:28:28.333670,[]
2026-06-02,11:28:28.367037,[]
2026-06-02,11:28:28.400404,[]
2026-06-02,11:28:28.433771,[]
2026-06-02,11:28:28.467138,[]
2026-06-02,11:28:28.500505,[]
2026-06-02,11:28:28.533872,[]
2026-06-02,11:28:28.567239,[]
2026-06-02,11:28:28.600606,[]
2026-06-02,11:28:28.633973,[]
2026-06-02,11:28:28.667340,[]
2026-06-02,11:28:28.700707,[]
2026-06-02,11:28:28.734074,[]
2026-06-02,11:28:28.767441,[]
2026-06-02,11:28:28.800808,[]
2026-06-02,11:28:28.834175,[]
2026-06-02,11:28:28.867542,[]
2026-06-02,11:28:28.900909,[]
2026-06-02,11:28:28.934276,[]
2026-06-02,11:28:28.967643,[]
2026-06-02,11:28:29.001010,[]
2026-06-02,11:28:29.034377,[]
2026-06-02,11:28:29.067744,[]
2026-06-02,11:28:29.101111,[]
2026-06-02,11:28:29.134478,[]
2026-06-02,11:28:29.167845,[]
2026-06-02,11:28:29.201212,[]
2026-06-02,11:28:29.234579,[]
2026-06-02,11:28:29.267946,[]
2026-06-02,11:28:29.301313,[]
2026-06-02,11:28:29.334680,[]
2026-06-02,11:28:29.368047,[]
2026-06-02,11:28:29.401414,[]
2026-06-02,11:28:29.434781,[]
2026-06-02,11:28:29.468148,[]
2026-06-02,11:28:29.501515,[]
2026-06-02,11:28:29.534882,[]
2026-06-02,11:28:29.568249,[]
2026-06-02,11:28:29.601616,[]
2026-06-02,11:28:29.634983,[]
2026-06-02,11:28:29.668350,[]
2026-06-02,11:28:29.701717,[]
2026-06-02,11:28:29.735084,[]
2026-06-02,11:28:29.768451,[]
2026-06-02,11:28:29.801818,[]
2026-06-02,11:28:29.835185,[]
2026-06-02,11:28:29.868552,[]
2026-06-02,11:28:29.901919,[]
2026-06-02,11:28:29.935286,[]
2026-06-02,11:28:29.968653,[]
2026-06-02,11:28:30.002020,[]
2026-06-02,11:28:30.035387,[]
2026-06-02,11:28:30.068754,[]
2026-06-02,11:28:30.102121,[]
2026-06-02,11:28:30.135488,[]
2026-06-02,11:28:30.168855,[]
2026-06-02,11:28:30.202222,[]
2026-06-02,11:28:30.235589,[]
2026-06-02,11:28:30.268956,[]
2026-06-02,11:28:30.302323,[]
2026-06-02,11:28:30.335690,[]
2026-06-02,11:28:30.369057,[]
2026-06-02,11:28:30.402424,[]
2026-06-02,11:28:30.435791,[]
2026-06-02,11:28:30.469158,[]
2026-06-02,11:28:30.502525,[]
2026-06-02,11:28:30.535892,[]
2026-06-02,11:28:30.569259,[]
2026-06-02,11:28:30.602626,[]
2026-06-02,11:28:30.635993,[]
2026-06-02,11:28:30.669360,[]
2026-06-02,11:28:30.702727,[]
2026-06-02,11:28:30.736094,[]
2026-06-02,11:28:30.769461,[]
2026-06-02,11:28:30.802828,[]
2026-06-02,11:28:30.836195,[]
2026-06-02,11:28:30.869562,[]
2026-06-02,11:28:30.902929,[]
2026-06-02,11:28:30.936296,[]
2026-06-02,11:28:30.969663,[]
2026-06-02,11:28:31.003030,[]
2026-06-02,11:28:31.036397,[]
2026-06-02,11:28:31.069764,[]
2026-06-02,11:28:31.103131,[]
2026-06-02,11:28:31.136498,[]
2026-06-02,11:28:31.169865,[]
2026-06-02,11:28:31.203232,[]
2026-06-02,11:28:31.236599,[]
2026-06-02,11:28:31.269966,[]
2026-06-02,11:28:31.303333,[]
2026-06-02,11:28:31.336700,[]
2026-06-02,11:28:31.370067,[]
