Timestamp,Particle Count (pt/cc),Vehicles In Frame,EVs,Diesel,Benzin
12:56:26,,0,0,0,0
12:56:27,,0,0,0,0
12:56:28,,0,0,0,0
12:56:29,,0,0,0,0
12:56:30,,0,0,0,0
12:56:31,,0,0,0,0
12:56:32,,0,0,0,0
12:56:33,,0,0,0,0
12:56:34,,0,0,0,0
12:56:35,,0,0,0,0
12:56:36,,0,0,0,0
12:56:37,,0,0,0,0
12:56:38,,0,0,0,0
12:56:39,,0,0,0,0
12:56:40,,0,0,0,0
12:56:41,,0,0,0,0
12:56:42,,0,0,0,0
12:56:43,,0,0,0,0
12:56:44,,0,0,0,0
12:56:45,4800,0,0,0,0
12:56:46,4800,0,0,0,0
12:56:47,4860,0,0,0,0
12:56:48,4820,0,0,0,0
12:56:49,4810,0,0,0,0
12:56:50,4810,0,0,0,0
12:56:51,4810,0,0,0,0
12:56:52,4780,0,0,0,0
12:56:53,4660,0,0,0,0
12:56:54,4760,0,0,0,0
12:56:55,4710,0,0,0,0
12:56:56,4760,0,0,0,0
12:56:57,4760,0,0,0,0
12:56:58,4660,0,0,0,0
12:56:59,4490,0,0,0,0
12:57:00,4510,0,0,0,0
12:57:01,4160,0,0,0,0
12:57:02,4050,0,0,0,0
12:57:03,4010,0,0,0,0
12:57:04,4020,0,0,0,0
12:57:05,3970,0,0,0,0
12:57:06,3950,0,0,0,0
12:57:07,3990,0,0,0,0
12:57:08,3990,0,0,0,0
12:57:09,3960,1,0,1,0
12:57:10,3990,0,0,0,0
12:57:11,3910,0,0,0,0
12:57:12,4170,0,0,0,0
12:57:13,4120,0,0,0,0
12:57:14,4150,0,0,0,0
12:57:15,4170,0,0,0,0
12:57:16,4150,0,0,0,0
12:57:17,4120,0,0,0,0
12:57:18,4120,0,0,0,0
12:57:19,4070,0,0,0,0
12:57:20,4180,0,0,0,0
12:57:21,4340,0,0,0,0
12:57:22,4310,0,0,0,0
12:57:23,4300,0,0,0,0
12:57:24,4570,0,0,0,0
12:57:25,4500,0,0,0,0
12:57:26,4510,0,0,0,0
12:57:27,4450,0,0,0,0
12:57:28,4440,0,0,0,0
12:57:29,4960,1,0,1,0
12:57:30,5200,0,0,0,0
12:57:31,5310,0,0,0,0
12:57:32,5360,1,0,0,1
12:57:33,5160,0,0,0,0
12:57:34,5160,0,0,0,0
12:57:35,5440,0,0,0,0
12:57:36,5560,0,0,0,0
12:57:37,5630,0,0,0,0
12:57:38,5180,0,0,0,0
12:57:39,5010,0,0,0,0
12:57:40,4880,0,0,0,0
12:57:41,5050,0,0,0,0
12:57:42,5020,0,0,0,0
12:57:43,4240,0,0,0,0
12:57:44,4060,0,0,0,0
12:57:45,4080,0,0,0,0
12:57:46,4180,0,0,0,0
12:57:47,4130,0,0,0,0
12:57:48,4140,0,0,0,0
12:57:49,4180,0,0,0,0
12:57:50,4210,0,0,0,0
12:57:51,4330,0,0,0,0
